Animal Type,Sex,Intake Condition,Intake Type,Intake_Month,Season,Age_Months,Color_Simple,is_adopted
CAT,Male,NORMAL,OWNER SURRENDER,2,Winter,48.7,ORG TABBY,0
CAT,Spayed,NORMAL,OWNER SURRENDER,2,Winter,48.7,CALICO,1
CAT,Male,UNDER AGE/WEIGHT,OWNER SURRENDER,2,Winter,0.8,GRAY TABBY,0
CAT,Neutered,NORMAL,OWNER SURRENDER,2,Winter,24.4,Other,1
CAT,Neutered,NORMAL,OWNER SURRENDER,2,Winter,48.7,Other,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,1.0,BRN TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,1.0,WHITE,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,1.0,TORTIE,0
DOG,Male,I/I REPORT,STRAY,4,Spring,36.5,BROWN,0
DOG,Neutered,ILL MILD,STRAY,7,Summer,9.1,WHITE,1
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,10,Fall,0.9,GRAY,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,5,Spring,0.7,GRAY,0
DOG,Neutered,I/I REPORT,STRAY,9,Fall,24.4,FAWN,1
DOG,Male,NORMAL,STRAY,12,Winter,24.3,BLACK,0
DOG,Neutered,NORMAL,STRAY,7,Summer,48.7,WHITE,0
CAT,Neutered,NORMAL,STRAY,10,Fall,3.1,BLACK,0
CAT,Spayed,NORMAL,RETURN,8,Summer,2.1,GRAY,1
CAT,Male,ILL SEVERE,STRAY,7,Summer,3.0,BLACK,0
DOG,Neutered,ILL SEVERE,STRAY,1,Winter,60.9,BR BRINDLE,1
DOG,Female,NORMAL,STRAY,1,Winter,48.7,BROWN,0
CAT,Neutered,ILL MILD,STRAY,11,Fall,1.8,ORANGE,1
DOG,Female,NORMAL,STRAY,12,Winter,0.0,TRICOLOR,0
DOG,Male,NORMAL,STRAY,12,Winter,0.0,WHITE,0
DOG,Female,I/I REPORT,STRAY,12,Winter,36.5,WHITE,0
DOG,Male,NORMAL,STRAY,1,Winter,48.7,BLUE,0
DOG,Male,ILL MILD,STRAY,12,Winter,12.2,WHITE,0
DOG,Spayed,NORMAL,STRAY,9,Fall,85.2,BLACK,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,0.8,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,0.8,BLACK,0
DOG,Female,INJURED  MODERATE,STRAY,6,Summer,48.7,BROWN,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,GRAY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,GRAY,0
DOG,Spayed,NORMAL,STRAY,4,Spring,36.5,GRAY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,10,Fall,1.2,BRN TABBY,0
CAT,Neutered,NORMAL,STRAY,7,Summer,6.1,BLACK,1
CAT,Spayed,NORMAL,STRAY,7,Summer,4.1,BLACK,0
CAT,Spayed,NORMAL,STRAY,4,Spring,5.1,BLACK,1
CAT,Neutered,NORMAL,STRAY,4,Spring,5.1,ORG TABBY,0
CAT,Neutered,UNDER AGE/WEIGHT,STRAY,5,Spring,2.0,BRN TABBY,1
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,5,Spring,2.0,GRAY TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,5,Spring,1.2,Other,0
CAT,Spayed,NORMAL,STRAY,5,Spring,12.1,Other,1
DOG,Spayed,ILL MILD,STRAY,12,Winter,121.7,TAN,0
DOG,Female,INJURED  MILD,STRAY,3,Spring,121.7,BLACK,0
CAT,Unknown,INJURED  SEVERE,STRAY,2,Winter,36.5,BRN TABBY,0
CAT,Neutered,NORMAL,STRAY,10,Fall,3.1,BRN TABBY,1
CAT,Unknown,INJURED  SEVERE,STRAY,8,Summer,36.5,BROWN,0
DOG,Neutered,NORMAL,STRAY,6,Summer,24.3,BROWN,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,8,Summer,0.3,BLACK,0
CAT,Male,ILL MILD,STRAY,9,Fall,0.5,ORANGE,0
CAT,Spayed,NORMAL,STRAY,5,Spring,24.3,WHITE,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,5,Spring,0.7,WHITE,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,5,Spring,0.7,WHITE,0
DOG,Neutered,I/I REPORT,STRAY,11,Fall,48.7,BLACK,1
DOG,Neutered,NORMAL,STRAY,9,Fall,73.0,TRICOLOR,1
CAT,Female,NORMAL,STRAY,7,Summer,3.0,TRICOLOR,0
DOG,Spayed,ILL SEVERE,STRAY,9,Fall,2.1,BLACK,0
DOG,Spayed,ILL SEVERE,STRAY,9,Fall,2.1,BROWN,1
DOG,Female,NORMAL,QUARANTINE,10,Fall,24.4,TAN,0
CAT,Male,ILL SEVERE,STRAY,7,Summer,12.2,BLACK,0
CAT,Neutered,FRACTIOUS,STRAY,4,Spring,12.2,GRAY TABBY,0
CAT,Spayed,NORMAL,STRAY,10,Fall,36.5,CALICO,1
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,GRAY,0
DOG,Female,NORMAL,STRAY,1,Winter,73.1,GRAY,0
DOG,Neutered,INJURED  MILD,STRAY,6,Summer,24.4,BROWN,1
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,8,Summer,0.0,WHITE,0
CAT,Neutered,FRACTIOUS,STRAY,6,Summer,12.2,BLACK,0
DOG,Female,NORMAL,STRAY,9,Fall,36.5,BLACK,0
CAT,Neutered,ILL SEVERE,STRAY,6,Summer,1.6,GRAY,1
CAT,Spayed,FRACTIOUS,STRAY,2,Winter,36.5,BRN TABBY,0
CAT,Spayed,FRACTIOUS,STRAY,2,Winter,8.2,BRN TABBY,0
CAT,Female,NORMAL,OWNER SURRENDER,12,Winter,12.2,BLACK,0
DOG,Neutered,NORMAL,STRAY,8,Summer,136.2,WHITE,0
CAT,Female,NORMAL,STRAY,12,Winter,24.4,BLACK,0
DOG,Male,NORMAL,STRAY,12,Winter,12.2,WHITE,0
CAT,Neutered,ILL MODERATETE,STRAY,6,Summer,106.6,BRN TABBY,0
CAT,Male,INJURED  SEVERE,STRAY,2,Winter,60.9,BRN TABBY,0
DOG,Male,ILL SEVERE,OWNER SURRENDER,7,Summer,182.6,BLUE,0
DOG,Male,NORMAL,STRAY,6,Summer,12.2,WHITE,0
CAT,Female,INJURED  SEVERE,STRAY,8,Summer,2.0,BRN TABBY,0
DOG,Female,INJURED  SEVERE,STRAY,7,Summer,36.5,WHITE,0
CAT,Neutered,NORMAL,STRAY,3,Spring,12.2,BLACK,0
DOG,Male,INJURED  MODERATE,STRAY,9,Fall,24.4,BLACK,0
DOG,Male,INJURED  SEVERE,OWNER SURRENDER,8,Summer,126.4,TRICOLOR,0
CAT,Spayed,NORMAL,STRAY,4,Spring,7.1,BLACK,1
DOG,Neutered,NORMAL,STRAY,8,Summer,97.4,WHITE,1
DOG,Neutered,INJURED  MILD,STRAY,9,Fall,36.5,TAN,1
CAT,Female,INJURED  SEVERE,STRAY,9,Fall,12.2,GRAY,0
CAT,Male,ILL MODERATETE,STRAY,9,Fall,1.0,BLACK,0
DOG,Female,NORMAL,STRAY,7,Summer,12.2,BROWN,0
DOG,Male,NORMAL,STRAY,7,Summer,72.1,BLUE,0
CAT,Neutered,INJURED  MILD,STRAY,10,Fall,2.0,GRAY TABBY,1
DOG,Female,NORMAL,STRAY,12,Winter,9.2,BLACK,0
CAT,Female,NORMAL,STRAY,7,Summer,3.0,CALICO,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,11,Fall,0.6,BRN TABBY,0
CAT,Female,INJURED  MODERATE,STRAY,6,Summer,2.0,BRN TABBY,0
CAT,Female,INJURED  SEVERE,STRAY,11,Fall,12.2,WHITE,0
DOG,Female,INJURED  MODERATE,STRAY,5,Spring,60.9,BROWN,0
DOG,Female,INJURED  SEVERE,STRAY,10,Fall,12.2,FAWN,0
CAT,Male,ILL SEVERE,STRAY,7,Summer,2.0,BRN TABBY,0
CAT,Female,NORMAL,STRAY,4,Spring,3.0,BRN TABBY,1
CAT,Spayed,NORMAL,STRAY,4,Spring,3.0,BRN TABBY,0
CAT,Female,NORMAL,STRAY,4,Spring,3.0,BRN TABBY,1
DOG,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,1.1,WHITE,0
CAT,Male,NORMAL,STRAY,2,Winter,4.1,BLACK,0
DOG,Male,NORMAL,STRAY,1,Winter,36.5,WHITE,0
CAT,Female,NORMAL,STRAY,5,Spring,0.1,BLACK,0
CAT,Female,NORMAL,STRAY,5,Spring,0.1,GRAY TABBY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.5,BRN TABBY,0
DOG,Spayed,NORMAL,STRAY,11,Fall,24.4,GRAY,1
CAT,Neutered,NORMAL,STRAY,10,Fall,4.1,BLACK,1
CAT,Spayed,NORMAL,STRAY,6,Summer,24.4,WHITE,0
DOG,Neutered,NORMAL,STRAY,4,Spring,36.5,TAN,1
DOG,Male,ILL MILD,STRAY,2,Winter,2.9,WHITE,0
CAT,Spayed,NORMAL,STRAY,2,Winter,12.2,CALICO,0
DOG,Female,UNDER AGE/WEIGHT,STRAY,3,Spring,2.0,BLACK,0
DOG,Male,UNDER AGE/WEIGHT,STRAY,3,Spring,2.0,BLACK,0
DOG,Male,INJURED  MILD,STRAY,9,Fall,85.2,BR BRINDLE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,11,Fall,2.0,GRAY TABBY,1
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,11,Fall,2.0,CALICO,1
CAT,Female,ILL SEVERE,STRAY,11,Fall,12.2,BRN TABBY,0
DOG,Neutered,I/I REPORT,STRAY,2,Winter,36.5,WHITE,1
DOG,Male,WELFARE SEIZURES,CONFISCATE,1,Winter,3.1,BLACK,0
DOG,Female,INJURED  SEVERE,STRAY,1,Winter,36.5,BLACK,0
